"Afghanistan";"Angola";"Albanie";"Andorre";"Le.monde.arabe";"Émirats.arabes.unis";"Argentine";"Arménie";"Antigua.et.Barbuda";"Australie";"Autriche";"Azerbaïdjan";"Burundi";"Belgique";"Bénin";"Burkina.Faso";"Bangladesh";"Bulgarie";"Bahreïn";"Bahamas";"Bosnie.Herzégovine";"Bélarus";"Belize";"Bolivie";"Brésil";"Barbade";"Brunéi.Darussalam";"Bhoutan";"Botswana";"République.centrafricaine";"Canada";"Europe.centrale.et.les.pays.baltes";"Suisse";"Chili";"Chine";"Côte.d.Ivoire";"Cameroun";"Congo";"Congo.1";"Colombie";"Comores";"Cabo.Verde";"Costa.Rica";"Petits.états.des.Caraïbes";"Cuba";"Chypre";"République.tchèque";"Allemagne";"Djibouti";"Dominique";"Danemark";"République.dominicaine";"Algérie";"Asie.de.l.Est.et.Pacifique..hors.revenu.élevé.";"de.dividende.précoce.démographique";"Asie.de.l.Est.et.Pacifique";"Europe.et.Asie.centrale..hors.revenu.élevé.";"Europe.et.Asie.centrale";"Équateur";"Égypte";"Zone.euro";"Érythrée";"Espagne";"Estonie";"Éthiopie";"Union.européenne";"Fragile.et.les.situations.de.conflit.touchées";"Finlande";"Fidji";"France";"Micronésie";"Gabon";"Royaume.Uni";"Géorgie";"Ghana";"Guinée";"Gambie";"Guinée.Bissau";"Guinée.équatoriale";"Grèce";"Grenade";"Guatemala";"Guyana";"Revenu.élevé";"Honduras";"Pays.pauvres.très.endettés..PPTE.";"Croatie";"Haïti";"Hongrie";"BIRD.seulement";"BIRD.et.IDA";"IDA.totale";"IDA.mélange";"Indonésie";"IDA.seulement";"Inde";"Irlande";"Iran";"Iraq";"Islande";"Israël";"Italie";"Jamaïque";"Jordanie";"Japon";"Kazakhstan";"Kenya";"République.kirghize";"Cambodge";"Kiribati";"Saint.Kitts.et.Nevis";"Corée";"Koweït";"Amérique.latine.et.Caraïbes..hors.revenu.élevé.";"République.démocratique.populaire.lao";"Liban";"Libéria";"Libye";"Sainte.Lucie";"Amérique.latine.et.Caraïbes";"Pays.les.moins.avancés..classement.de.l.ONU";"Faible.revenu";"Liechtenstein";"Sri.Lanka";"Revenu.intermédiaire";"Revenu.faible.et.intermédiaire";"Lesotho";"de.dividende.tardif.démographique";"Lituanie";"Luxembourg";"Lettonie";"Maroc";"Moldova";"Madagascar";"Maldives";"Afrique.du.Nord.et.Moyen.Orient";"Mexique";"Îles.Marshall";"Revenu.intermédiaire.1";"Macédoine.du.Nord";"Mali";"Malte";"Myanmar";"Afrique.du.Nord.et.Moyen.Orient..hors.revenu.élevé.";"Monténégro";"Mongolie";"Mozambique";"Mauritanie";"Maurice";"Malawi";"Malaisie";"Amérique.du.Nord";"Namibie";"Niger";"Nigéria";"Nicaragua";"Pays.Bas";"Norvège";"Népal";"Nauru";"Nouvelle.Zélande";"Pays.membres.de.l.OCDE";"Oman";"Autres.petits.états";"Pakistan";"Panama";"Pérou";"Philippines";"Palaos";"Papouasie.Nouvelle.Guinée";"Pologne";"de.Pré.dividende.démographique";"Corée.1";"Portugal";"Paraguay";"Petits.états.insulaires.du.Pacifique";"de.Post.dividende.démographique";"Qatar";"Roumanie";"Fédération.de.Russie";"Rwanda";"Asie.du.Sud";"Arabie.saoudite";"Soudan";"Sénégal";"Singapour";"Îles.Salomon";"Sierra.Leone";"El.Salvador";"Somalie";"Serbie";"Afrique.subsaharienne..hors.revenu.élevé.";"Soudan.du.Sud";"Afrique.subsaharienne";"Petits.états";"Sao.Tomé.et.Principe";"Suriname";"République.slovaque";"Slovénie";"Suède";"Eswatini";"Seychelles";"République.arabe.syrienne";"Tchad";"Asie.de.l.Est.et.Pacifique..BIRD.et.IDA.";"Europe.et.Asie.centrale..BIRD.et.IDA.";"Togo";"Thaïlande";"Tadjikistan";"Turkménistan";"Amérique.latine.et.Caraïbes..BIRD.et.IDA.";"Timor.Leste";"Afrique.du.Nord.et.Moyen.Orient..BIRD.et.IDA.";"Tonga";"Asie.du.Sud..BIRD.et.IDA.";"Afrique.subsaharienne..BIRD.et.IDA.";"Trinité.et.Tobago";"Tunisie";"Turquie";"Tuvalu";"Tanzanie";"Ouganda";"Ukraine";"Revenu.intermédiaire.2";"Uruguay";"États.Unis";"Ouzbékistan";"Saint.Vincent.et.les.Grenadines";"Venezuela";"Viet.Nam";"Vanuatu";"Monde";"Samoa";"Yémen";"Afrique.du.Sud";"Zambie";"Zimbabwe"
0,2522;0,9759;1,5276;7,2708;4,2307;19,1929;4,0997;1,473;5,718;17,5901;8,365;2,6849;0,0329;9,7948;0,5113;0,1421;0,3409;6,0495;21,3983;5,5723;5,4683;6,5026;1,7386;1,4839;2,0266;5,6423;18,1036;0,567;1,6112;0,0365;15,7921;6,7708;5,7777;4,1019;6,3354;0,3007;0,3527;0,0389;1,1369;1,4182;0,2591;1,036;1,5382;5,5122;2,4897;6,9931;10,7166;9,4534;0,5657;2,618;8,6739;2,1154;3,1844;4,8995;1,9906;5,5862;7,5067;7,4101;2,4851;2,3118;7,4404;0,1588;5,8666;14,2699;0,0725;7,277;0,8379;11,6588;1,2815;5,3479;1,2052;3,3662;7,6863;1,4049;0,4375;0,2434;0,2271;0,1531;9,0907;7,8749;2,543;0,8023;2,3532;11,1406;0,9679;0,2291;4,5304;0,2499;4,788;3,9365;3,1164;0,4961;0,8449;1,7028;0,3162;1,338;8,8133;7,2964;3,4719;6,1627;9,2502;6,8368;2,736;2,9143;9,0301;14,0731;0,3044;1,1656;0,3579;0,463;5,063;10,6807;27,4245;2,4463;0,4554;4,1755;0,1816;9,1728;3,1006;2,7078;0,2466;0,3748;5,2886;0,6451;1,3791;3,0553;0,2719;5,8229;4,0681;21,7574;4,0619;1,5943;2,8997;0,0861;2,6551;5,3705;4,1132;2,6209;3,3296;4,2044;0,179;6,2484;0,1646;3,6251;4,1651;5,2951;0,1161;0,7019;2,9271;0,0605;6,972;17,2718;1,491;0,0823;0,5595;0,7702;10,2983;8,4696;0,1708;3,9059;7,1368;9,8236;16,3364;6;0,7232;2,5361;1,5395;0,8657;11,3269;0,662;8,247;0,4593;2,2521;4,8179;0,8737;1,0863;11,0405;35,3545;3,8337;11,3254;0,0582;1,1308;15,1683;0,4867;0,561;8,3538;0,6292;0,087;1,0697;0,0524;6,4596;0,7897;0,1349;0,7901;5,5902;0,549;3,1863;6,5715;7,7029;5,1322;0,591;4,9014;2,7349;0,1042;4,9352;7,3723;0,4002;3,4331;0,3214;11,2339;2,6878;0,2205;3,626;1,1175;1,1308;0,7901;15,2167;2,5259;4,0591;0,9479;0,1532;0,103;5,8626;5,3051;1,8731;17,4317;4,4198;2,2871;5,7148;1,7322;0,5296;4,4541;0,976;1,1057;8,213;0,1929;0,7477
0,3053;0,984;1,6694;6,9438;4,2296;19,3115;4,281;1,6866;6,2263;17,2954;8,1355;2,9739;0,0381;8,7405;0,4781;0,1482;0,3623;6,7553;21,4673;6,7998;6,3423;6,1881;2,0331;1,5977;2,1107;6,3887;18,2563;0,8271;1,8182;0,0402;15,9959;6,7881;5,2058;4,4528;6,9013;0,2838;0,333;0,0399;1,2213;1,5251;0,2239;1,0805;1,5876;5,7834;2,4419;6,6633;10,401;9,299;0,5124;2,6185;7,7371;2,1113;3,3054;5,2969;2,0366;5,9882;7,8769;7,4093;2,4347;2,2958;7,1884;0,1777;5,8704;13,688;0,0821;7,0748;0,807;10,2296;1,222;5,1288;1,0224;3,2609;7,0439;1,7357;0,4484;0,2489;0,2252;0,1492;8,728;7,6138;2,6976;0,8085;2,4589;10,903;1,0217;0,2381;4,4456;0,2712;4,7043;4,1624;3,28;0,4983;0,8463;1,9236;0,3186;1,3969;8,0086;7,1798;3,4913;5,9245;8,9907;6,6806;2,742;2,9198;9,493;14,8244;0,3056;1,3818;0,3678;0,4551;5,8847;11,6079;26,4932;2,527;0,4738;4,1982;0,2033;6,7791;3,4273;2,7873;0,2541;0,3359;4,9739;0,7559;1,4288;3,218;0,2797;6,2291;3,9133;21,0284;3,8355;1,7001;2,9154;0,098;2,6974;5,3718;4,191;2,643;3,5179;4,6246;0,1945;6,1739;0,1745;3,5785;4,0963;5,7326;0,141;0,698;2,9064;0,0614;6,9469;16,5462;1,5617;0,0816;0,5741;0,8027;9,5111;7,995;0,1907;3,8899;6,9092;9,5983;16,7204;6,1682;0,7135;2,7083;1,6429;0,8577;11,5132;0,661;8,1598;0,4676;2,091;4,7236;0,8932;1,0613;10,7807;37,7958;4,1722;11,885;0,0643;1,1778;15,3816;0,4625;0,5879;8,6367;0,6321;0,1119;1,1047;0,0516;7,0817;0,7666;0,125;0,767;5,7684;0,5375;3,5317;6,3204;7,6479;4,7179;0,5971;4,6889;2,5041;0,0893;5,345;7,6989;0,3734;3,3997;0,3288;12,209;2,7678;0,2246;3,5797;1,0222;1,1778;0,767;15,6758;2,3875;4,2835;0,9346;0,1764;0,1123;6,1992;5,7074;2,2638;16,6042;4,3842;2,4838;5,5004;1,7654;0,5173;4,5397;1,0186;1,0277;7,8039;0,2138;0,876
0,2652;0,9477;1,5032;6,9001;4,4266;20,2644;4,2642;1,9627;7,9841;17,022;7,7236;3,2391;0,0378;8,5775;0,4434;0,1718;0,3813;6,1622;22,1807;9,2917;5,9765;6,345;1,9878;1,6481;2,2714;7,6757;17,9523;0,8875;1,5675;0,0419;15,7345;6,5521;5,3171;4,5215;7,0462;0,3653;0,3271;0,044;1,1736;1,5224;0,2337;0,9928;1,5729;5,9345;2,5369;6,1389;10,0915;9,4513;0,5239;3,6291;6,8353;2,1613;3,6213;5,3994;2,1064;6,0979;7,7381;7,3041;2,3954;2,3068;7,0844;0,1906;5,7569;12,7694;0,0898;6,9302;0,8528;9,1264;1,1306;5,154;1,1123;3,0489;7,3435;1,9282;0,544;0,2299;0,2232;0,1513;8,227;7,2512;3,5372;0,8219;2,6883;10,7199;1,0509;0,2476;4,0796;0,2394;4,3779;4,2439;3,3302;0,4847;0,8008;1,9243;0,3215;1,4982;8,0726;7,2312;3,8093;5,7995;9,6151;6,3277;2,5219;3,3445;9,8223;14,5664;0,2779;1,7941;0,3835;0,5375;7,1239;11,9848;25,1306;2,5897;0,5024;4,5323;0,2193;9,8179;4,3322;2,8821;0,2607;0,3146;5,2048;0,825;1,4844;3,2683;0,3017;6,3289;3,9929;20,1339;3,7211;1,7414;2,8458;0,1193;2,9416;5,562;4,2024;2,6818;3,5803;4,391;0,1883;6,4758;0,2382;3,6824;3,7544;6,1382;0,1503;0,7508;2,97;0,061;6,9389;15,7866;1,6286;0,1053;0,5606;0,7777;9,3984;7,6695;0,2195;3,83;7,2843;9,4039;17,1259;6,262;0,7112;2,7857;1,6175;0,8791;12,259;0,6092;7,9696;0,481;1,4969;4,5859;0,8745;1,0242;10,5439;39,3984;4,0807;11,7021;0,0692;1,2552;15,9781;0,4494;0,563;8,2241;0,6165;0,1267;1,0988;0,0506;6,3605;0,7758;0,1327;0,7762;5,8676;0,6318;4,3719;5,9823;7,3499;4,4268;0,6118;4,8696;2,0805;0,1458;5,4479;7,5574;0,3234;3,6248;0,3796;12,6422;2,8592;0,2637;3,6839;1,0232;1,2552;0,7762;15,045;2,4869;4,3689;0,9213;0,2065;0,1103;6,0779;6,0836;2,5273;15,7898;3,7999;3,3308;6,1462;1,7415;0,4664;4,5457;1,0095;0,9009;8,0305;0,2733;0,9054
0,1899;1,0311;1,5336;6,7258;4,4041;21,0778;4,3421;1,8956;5,3109;16,4423;7,7537;3,2856;0,0384;8,6555;0,454;0,1775;0,3934;5,459;22,8665;7,2864;6,04;6,3527;1,3345;1,7443;2,4134;5,2011;17,5127;0,9192;2,4444;0,025;15,8385;6,311;5,3812;4,7402;7,3241;0,3868;0,349;0,0399;1,116;1,6623;0,2717;0,9445;1,6237;5,6783;2,55;5,51;9,6203;9,6242;0,5763;2,4702;7,1167;2,0961;3,6584;5,5768;2,1004;6,2583;7,5538;7,12;2,525;2,3564;6,9157;0,1942;5,2083;14,6586;0,1038;6,7398;0,8553;9,2278;1,2371;5,1295;1,2011;3,0438;7,0758;2,1088;0,5678;0,1972;0,2071;0,1473;7,3798;6,61;2,7363;0,8641;2,6491;10,7308;1,0457;0,2502;3,997;0,2583;4,1201;4,3177;3,3786;0,4855;0,8172;1,7686;0,3144;1,5277;7,7231;7,2308;3,9203;6,27;8,3132;5,7519;2,6685;3,093;9,9084;15,2628;0,3148;1,64;0,3827;0,5295;4,815;11,9586;23,9571;2,6354;0,6302;4,0924;0,2078;9,7925;2,9314;2,921;0,2747;0,2734;5,1622;0,7034;1,5285;3,3186;0,2941;6,5008;3,8307;18,6801;3,7016;1,7037;2,5109;0,1242;2,8199;5,5565;4,0561;2,7263;3,6445;3,9437;0,1894;5,5638;0,2685;3,6891;3,6542;6,4601;0,1663;0,692;3,035;0,0612;7,422;16,0863;1,7192;0,1056;0,6189;0,7305;9,3481;7,7762;0,2224;4,6755;7,179;9,3864;16,5091;6,3542;0,7113;2,6822;1,6562;0,9579;12,3561;0,6355;7,8417;0,5038;1,5461;4,4524;0,8825;1,0803;10,558;37,4208;3,6074;11,377;0,073;1,2751;15,9838;0,4229;0,5892;8,1327;0,6697;0,1493;1,0444;0,0506;6,4865;0,794;0,1306;0,7944;5,8945;0,6193;4,0607;6,0812;7,0633;4,2228;0,6706;4,6693;1,4282;0,1657;5,6329;7,3676;0,2463;3,7468;0,3933;12,6293;2,9004;0,396;3,6908;1,1206;1,2751;0,7944;15,4158;2,4645;4,155;0,9159;0,2195;0,1046;5,9414;6,1877;2,1768;16,1112;3,6987;2,1405;6,047;1,8201;0,4174;4,5813;1,0003;0,8012;8,1101;0,2783;0,9059
0,1492;1,0922;1,6683;6,4227;4,453;20,91;4,2091;1,8962;5,379;15,8304;7,2604;3,3812;0,0362;8,0417;0,4889;0,175;0,4093;5,8209;23,0945;6,476;5,4578;6,2973;1,3623;1,8696;2,5146;4,5767;16,9924;0,9506;3,0924;0,0271;15,8499;6,1194;4,8592;4,3286;7,2942;0,4001;0,37;0,0539;1,104;1,6967;0,2379;0,9156;1,6163;5,5841;2,3553;5,7859;9,2643;9,0885;0,4044;2,5947;6,3472;2,0861;3,8116;5,5811;2,1762;6,2271;7,2643;6,7719;2,6194;2,2903;6,5236;0,1956;5,1841;13,6473;0,1237;6,3949;0,845;8,4519;1,409;4,6161;1,289;3,0302;6,4332;2,2772;0,5352;0,1976;0,2375;0,1549;6,1072;6,3852;2,1191;0,9114;2,7426;10,5018;1,0364;0,2572;3,8316;0,29;4,118;4,3213;3,3753;0,4913;0,8203;1,8886;0,3219;1,6425;7,6282;7,4396;3,6477;6,2617;7,8776;5,3875;2,5821;2,951;9,5628;12,1024;0,3306;1,664;0,4569;0,5218;4,8128;11,89;22,7484;2,6394;0,6486;4,0084;0,2699;9,5117;2,9176;2,9054;0,2882;0,2748;4,3131;0,847;1,5369;3,3201;0,2911;6,4523;3,7035;17,3462;3,6514;1,7136;2,6979;0,1243;3,2874;5,6191;3,8924;2,9751;3,6501;3,7244;0,1926;5,4308;0,3336;3,7027;3,5702;6,2422;0,1866;0,7546;3,1326;0,0516;7,732;16,0242;1,761;0,111;0,6402;0,7667;8,8817;7,613;0,2596;4,5704;7,0785;9,1483;16,5591;6,4407;0,7406;2,7669;1,7517;1,0049;12,3623;0,6959;7,5169;0,5012;1,1051;4,4159;0,9244;1,1391;10,2771;36,8757;3,5934;11,2082;0,0756;1,3668;16,8252;0,4356;0,6134;8,1174;0,5692;0,161;1,0613;0,0488;5,4638;0,8038;0,1364;0,8043;5,9501;0,6076;4,5991;5,6176;6,358;4,0305;0,6662;5,1445;1,3257;0,165;5,6354;7,0903;0,2182;3,6706;0,5501;12,6078;2,8886;0,4473;3,7046;1,0316;1,3668;0,8043;15,1931;2,6205;4,3609;0,9175;0,2108;0,1131;5,2511;6,341;1,9165;16,0409;3,4096;2,5254;5,9364;1,9825;0,5928;4,5369;1,0409;1,0314;8,1844;0,298;0,8718
0,1763;1,1252;1,6038;6,5509;4,4726;21,8955;4,3019;1,8551;5,448;15,8633;7,3172;3,2925;0,0373;8,4379;0,504;0,1977;0,4574;6,2079;22,4499;5,6277;5,567;5,7943;1,8896;1,8719;2,3653;4,567;15,1861;1,036;3,015;0,0394;15,6486;6,2358;4,7196;4,6015;7,1464;0,4157;0,3676;0,0676;1,0496;1,7027;0,2602;0,9055;1,5403;5,4411;2,5759;5,7695;9,4007;9,0873;0,4571;2,5712;5,9295;2,267;3,9519;5,4984;2,1649;6,1402;7,0273;6,7054;2,5636;2,2922;6,6469;0,1946;5,5179;11,8138;0,1258;6,5135;0,7841;7,8145;1,5046;4,6778;1,2841;3,017;6,1594;2,4696;0,5466;0,2185;0,2352;0,1565;4,8776;6,2851;2,2693;1,0496;2,7549;10,4121;1,0684;0,2663;3,949;0,3105;4,4072;4,2424;3,3078;0,4903;0,806;1,8856;0,3281;1,6313;7,8818;7,5705;3,527;6,227;7,8925;5,5633;2,5372;2,6658;9,2766;10,8723;0,3673;1,7241;0,5468;0,5141;5,022;11,5887;22,7746;2,6137;1,3083;4,221;0,2732;8,2894;2,847;2,8586;0,2958;0,2429;4,2832;0,9709;1,6022;3,2529;0,3068;6,3551;3,8108;16,0287;3,7016;1,7419;2,8279;0,132;3,1452;5,5911;3,9253;3,0358;3,5836;3,5793;0,2015;3,7299;0,3698;3,6056;3,7932;5,8352;0,2056;0,9021;3,1364;0,0549;7,6134;15,5712;1,8399;0,1048;0,5857;0,8367;9,2923;7,6109;0,2604;5,3643;7,0031;9,0412;16,7304;6,2561;0,778;2,704;1,7762;1,0774;11,8017;0,7498;7,6101;0,4921;1,2429;4,8127;1,0311;1,1639;10,1036;35,1118;3,7001;11,052;0,0842;1,3689;17,2578;0,4902;0,6471;8,2078;0,506;0,1244;1,1234;0,0472;6,3971;0,7653;0,176;0,7658;5,7914;0,5966;4,7265;5,6695;6,3677;3,9993;0,6791;5,4593;1,3158;0,169;5,5546;6,9014;0,2449;3,7556;0,5748;12,7288;2,8372;0,4312;3,6075;1,1308;1,3689;0,7658;14,6078;2,6372;4,4144;0,9194;0,2225;0,1259;4,2315;6,2878;1,9513;15,56;3,1685;2,3478;5,3433;2,3934;0,5064;4,4559;1,1789;0,9884;7,6027;0,3053;0,8781
0,153;1,0208;1,5577;6,4792;4,4295;22,3565;4,2018;1,7691;5,521;15,9147;7,2888;3,304;0,0404;8,3149;0,5986;0,192;0,4655;5,8349;21,4945;5,1518;6,4177;5,823;1,7696;1,9542;2,1613;4,6295;16,3617;1,2404;2,8184;0,0428;15,4206;6,3652;4,7377;4,7827;7,1154;0,3961;0,3829;0,0411;1,1176;1,736;0,2948;0,985;1,6339;5,1285;2,3955;6,0273;9,6278;9,073;0,4105;2,5687;6,1662;2,3358;3,8402;5,4758;2,1688;6,116;7,0623;6,7006;2,4216;2,3155;6,6229;0,1961;5,3143;12,1524;0,1422;6,5208;0,7756;8,3162;1,6551;4,7047;1,3703;3,0774;5,804;2,5889;0,5437;0,2364;0,2287;0,169;4,7608;6,2036;2,334;1,105;3,2671;10,2738;1,001;0,2731;4,0437;0,3136;4,5089;4,216;3,2857;0,5144;0,8438;1,8427;0,3458;1,6399;8,1635;7,3258;3,6754;4,8593;7,6036;5,4982;2,701;2,4908;9,1897;11,3605;0,399;1,5955;0,7085;0,5907;5,0222;11,9147;22,6156;2,5298;2,2782;4,4435;0,2996;8,1102;2,8909;2,7602;0,3114;0,2534;3,9884;1,0343;1,5979;3,232;0,3218;6,3174;3,9048;15,2058;3,6488;1,7182;2,9038;0,1247;3,8745;5,5418;3,8949;3,7245;3,5642;3,5223;0,2497;2,9647;0,4213;3,588;3,4549;5,9976;0,2628;0,8046;3,1975;0,0643;7,4845;15,1794;1,7776;0,1009;0,5874;0,842;9,3093;7,4047;0,3736;5,2461;6,6163;8,9283;16,4004;6,2221;0,8482;2,6749;1,8264;1,1629;14,0323;0,8608;7,8957;0,4998;0,9937;4,7223;1,1458;1,3223;9,9608;33,493;3,6336;10,8874;0,0972;1,3864;16,7951;0,5366;0,6867;8,2215;0,5732;0,1241;1,1471;0,0462;6,605;0,7567;0,1563;0,7572;5,7231;0,6353;5,0735;5,8003;6,7311;3,9081;0,7352;6,1261;1,3889;0,1514;5,5293;6,9551;0,3002;3,705;0,698;12,4971;2,7407;0,49;3,5901;1,419;1,3864;0,7572;12,4615;2,5339;4,6235;0,9215;0,2059;0,1277;4,4809;6,158;1,9099;15,1499;3,3041;2,4537;4,9142;2,4023;0,6356;4,4072;1,4595;0,4752;7,535;0,3173;0,7625
0,1341;0,8028;1,7888;6,3654;4,3867;21,7284;4,0713;1,8829;5,4873;15,8232;7,4862;3,2433;0,0475;8,1511;0,5924;0,2153;0,4904;6,2013;20,9495;5,4383;6,593;5,9214;1,7081;1,9894;2,1893;4,2266;16,9426;1,2829;3,0518;0,044;15,5446;6,6126;4,5789;4,7402;7,231;0,425;0,3759;0,0297;1,0604;1,5509;0,3676;1,0443;1,654;4,9825;2,3147;6,0901;9,6116;8,8583;0,4038;2,4147;5,7468;2,2118;3,8491;5,5809;2,2249;6,2127;7,1771;6,745;2,3088;2,3173;6,6186;0,212;5,6543;12,6842;0,1462;6,5588;0,7801;7,8102;1,7954;4,7495;1,5465;2,4904;5,5557;2,61;0,5628;0,2729;0,2268;0,1649;3,9981;6,2113;2,3983;1,03;3,2362;10,1609;0,9619;0,2744;4,2211;0,3065;4,7446;4,2822;3,3313;0,5347;0,8621;1,9558;0,3678;1,7135;7,8587;7,2889;3,9141;4,8631;7,5299;5,4379;2,5709;2,5599;9,0983;11,8961;0,3878;1,5214;0,8016;0,7477;5,0225;12,0247;21,9957;2,4847;2,7222;4,7993;0,2669;8,6481;2,9916;2,6993;0,3245;0,2933;4,2229;1,0893;1,6121;3,2816;0,3225;6,4102;3,9669;15,0922;3,6659;1,7879;2,9254;0,1326;3,937;5,5324;3,839;3,8146;3,6202;3,7551;0,2682;3,2479;0,6216;3,6809;3,6473;6,3242;0,2524;0,8389;3,2975;0,0666;7,1185;14,8985;1,8059;0,0879;0,5607;0,8456;9,0921;7,148;0,4428;5,9921;6,841;8,8549;15,8371;6,1505;0,9189;2,4731;1,7171;1,2507;14,5764;0,8349;8,2386;0,4953;1,1816;5,1775;1,2682;1,3887;9,8364;32,2817;3,7884;11,0352;0,0973;1,4526;15,9409;0,5152;0,6465;8,7558;0,5438;0,1224;1,0181;0,0444;6,7428;0,7442;0,1426;0,7447;5,6507;0,673;4,2549;6,1737;6,8332;3,807;0,773;6,0516;1,5456;0,1425;5,6238;7,0928;0,2636;3,6506;0,8257;12,2512;2,6802;0,4907;3,6832;1,7075;1,4526;0,7447;12,3427;2,5365;5,0664;0,9235;0,2102;0,1288;3,9022;6,1128;1,7825;14,8233;3,3817;2,1791;4,6075;2,4507;0,5857;4,4225;1,493;0,3706;7,6914;0,3937;0,701
0,1655;0,7661;1,7827;6,5322;4,2467;19,3782;3,9758;2,013;5,5661;15,5035;7,1331;3,2928;0,06;8,1963;0,6214;0,229;0,5098;5,822;20,7148;6,9668;6,6468;6,2455;1,6489;2,0014;2,065;4,4335;17,3623;1,3778;2,982;0,0451;15,6506;6,5689;4,402;4,6312;7,4873;0,3997;0,3824;0,0338;1,0184;1,5949;0,3864;1,0679;1,6605;5,1379;2,3578;5,9073;9,4921;8,5362;0,3784;2,4004;5,7183;2,351;3,9483;5,8037;2,2479;6,3989;7,3517;6,7364;2,359;2,3797;6,4356;0,2467;5,4926;11,5887;0,1551;6,4033;0,771;8,0826;1,7737;4,572;1,63;2,3358;5,4277;2,5681;0,6051;0,2987;0,225;0,1662;4,2807;6,058;2,6264;1,1207;3,2972;10,1244;1,0263;0,2806;4,0192;0,2988;4,7465;4,3985;3,4073;0,5317;0,8357;2,1605;0,3774;1,791;7,7373;7,4128;4,0194;4,8197;6,8762;5,3769;3,0621;2,3691;8,8017;11,8513;0,3501;1,7793;0,9098;0,7361;5,2344;12,2003;21,1689;2,4034;2,7248;4,6699;0,2311;8,7406;2,9794;2,6114;0,3327;0,2853;3,6667;1,0009;1,6617;3,3599;0,3321;6,5978;4,1584;15,3302;4,0422;1,8081;3,1545;0,1248;4,2878;5,4023;3,6494;3,914;3,7142;3,516;0,2744;3,1983;0,6255;3,6936;4,0178;6,811;0,2362;0,864;3,264;0,0751;7,5437;15,2685;1,7583;0,0864;0,5539;0,7775;8,7839;7,0765;0,5329;5,0319;6,6033;8,8326;16,4306;6,0069;0,8524;2,4152;1,6951;1,2763;13,9946;0,8104;8,2136;0,498;2,1277;4,8134;1,3145;1,3584;9,8672;31,2354;3,8611;11,4966;0,1029;1,5043;14,8854;0,4967;0,6536;8,4062;0,5461;0,1094;1,085;0,0428;6,6064;0,7335;0,1491;0,7339;5,5703;0,6624;3,7223;6,0586;6,7843;3,539;0,7842;5,9941;1,4167;0,1403;5,8512;7,2445;0,2871;3,6139;0,9509;12,0444;2,5887;0,4834;3,6962;1,5216;1,5043;0,7339;11,8162;2,5048;4,972;0,9204;0,2066;0,1412;4,1598;6,195;1,9084;15,2225;3,4127;2,3746;4,4301;3,009;0,7064;4,4754;1,3829;0,3333;7,575;0,4334;0,8225
0,161;0,7792;1,6922;6,5494;4,2726;20,5023;3,7407;2,1875;5,645;15,2536;7,294;3,5424;0,0606;8,0956;0,594;0,2386;0,5482;5,6109;22,2596;7,02;6,2695;6,1222;1,6448;1,8969;2,0507;4,4614;15,9572;1,3682;2,9003;0,0461;15,4306;6,2654;4,359;4,799;7,6059;0,4142;0,3658;0,0358;1,1928;1,6147;0,4046;1,1265;1,6206;5,1023;2,2895;5,8511;9,0228;7,9116;0,3911;2,38;5,108;2,5023;4,01;5,9303;2,2344;6,4897;7,3642;6,5741;2,2654;2,3897;6,1114;0,2515;5,0914;7,672;0,1609;6,0911;0,7613;7,3729;1,7747;4,4595;1,5325;2,3408;5,2205;2,7176;0,6357;0,3067;0,2312;0,1675;3,4449;5,5962;2,689;1,163;3,5681;9,8114;1,0262;0,2806;4,0637;0,2975;4,7466;4,4325;3,4238;0,5401;0,8501;2,2993;0,3832;1,7759;7,2451;7,4451;4,1998;4,5484;6,9196;5,3113;2,9818;2,3022;8,541;11,4569;0,4373;1,5566;0,9983;0,7244;5,2398;12,2252;20,8619;2,3692;2,5943;4,834;0,2367;8,6466;3,0238;2,5606;0,3412;0,2896;3,8979;1,0907;1,7302;3,3822;0,346;6,7112;4,1981;15,3064;3,9554;1,9689;3,3255;0,1496;4,1823;5,4013;3,5917;4,0243;3,745;3,9967;0,2835;3,2932;0,6923;3,6747;4,1799;7,137;0,2476;0,901;3,2946;0,0769;7,7207;14,7535;1,7248;0,0917;0,567;0,7863;8,4371;6,7223;0,4665;4,9456;6,8304;8,5189;16,5183;5,9655;0,8535;3,1518;1,7289;1,3174;13,954;0,7943;7,7736;0,5116;1,9709;4,3398;1,2573;1,3525;9,5233;32,7618;3,8174;11,7972;0,1036;1,4955;14,6196;0,477;0,6637;8,3071;0,5333;0,1118;1,242;0,0432;6,616;0,734;0,1627;0,7345;5,5343;0,699;4,4145;5,6984;6,5122;3,405;0,8208;6,2484;1,2792;0,1395;5,9768;7,2188;0,2875;3,7456;1,0089;11,8326;2,5384;0,4842;3,6777;1,5245;1,4955;0,7345;11,3095;2,4823;4,7536;0,9127;0,2079;0,1364;3,9366;6,3415;1,893;14,6734;3,4755;2,478;3,8776;3,5133;0,6899;4,4357;1,4157;0,3157;7,5686;0,37;0,7659
